ID,kommunekode,gas_x,gas_y,distance,fjernvarme_x,fjernvarme_y,road_dist
0a3f508c-a148-32b8-e044-0003ba298018,580,518543.4,6094194.34,2982.2113104376285,519377.64,6097057.49,4323.252000000002
0a3f508b-340b-32b8-e044-0003ba298018,580,528686.6,6076871.8,4842.636538715289,523876.79,6077434.7,6051.879
0a3f508b-3055-32b8-e044-0003ba298018,580,521999.54,6076782.2,627.7986508426395,522586.2,6077005.72,1393.11
0e9afd98-12d6-4bb1-9841-f2921b70288a,580,526329.22,6078113.51,2544.640627082616,523876.79,6077434.7,2870.9939999999997
0a3f508b-2c68-32b8-e044-0003ba298018,580,532030.34,6079633.84,3122.395163876537,534155.99,6081920.97,2669.607
0a3f508b-31fe-32b8-e044-0003ba298018,580,523687.45,6077242.48,126.36886087978613,523570.68,6077194.17,103.626
0a3f508c-9013-32b8-e044-0003ba298018,580,508877.25,6092265.25,8239.928724898029,515764.4,6087741.58,9708.958999999997
67c06f6d-9704-4cf9-a45e-68d1b34fc30b,580,522103.29,6075347.47,114.0699456474073,522208.74,6075303.97,12.407
0a3f508b-2c47-32b8-e044-0003ba298018,580,531925.95,6079370.39,3387.9989282761803,534155.99,6081920.97,3005.16
0a3f508c-316b-32b8-e044-0003ba298018,580,522737.57,6107724.42,1785.816007347893,521666.21,6109153.17,2684.565
0a3f508c-9962-32b8-e044-0003ba298018,580,516116.34,6088103.25,504.6453730095498,515764.4,6087741.58,700.3589999999999
0a3f508c-9604-32b8-e044-0003ba298018,580,516289.39,6087757.81,525.2408142937624,515764.4,6087741.58,669.938
0a3f508b-2c42-32b8-e044-0003ba298018,580,530556.91,6077884.77,5407.798746847113,534155.99,6081920.97,5050.011999999999
1de21027-a291-1d9f-e044-0003ba298018,580,516472.75,6088039.98,768.6366387963752,515764.4,6087741.58,794.4780000000001
0a3f508b-c15e-32b8-e044-0003ba298018,580,528809.88,6089774.95,1581.8597313604962,527229.04,6089831.74,2209.6349999999998
0a3f508b-33f8-32b8-e044-0003ba298018,580,528667.2,6076893.41,4820.894401685209,523876.79,6077434.7,6094.8769999999995
0a3f508b-3910-32b8-e044-0003ba298018,580,528542.52,6083139.57,5471.213589625005,525801.24,6087874.5,7077.180999999999
0a3f508c-9b2b-32b8-e044-0003ba298018,580,505870.97,6083210.46,10881.682113501663,515764.4,6087741.58,12349.168999999993
0a3f508b-33f1-32b8-e044-0003ba298018,580,528861.73,6077011.48,5002.873371573561,523876.79,6077434.7,5867.570000000001
